Year,Fossil,Renewable,Nuclear
1990,0,0,0
1991,2.11%,1.29%,6.75%
1992,-1.93%,10.56%,6.32%
1993,-0.39%,4.35%,16.76%
1994,-0.34%,35.11%,-1.85%
1995,0.10%,6.48%,0.47%
1996,5.93%,0.97%,4.23%
1997,-2.52%,8.34%,-0.90%
1998,1.82%,10.13%,6.36%
1999,0.42%,6.39%,-5.13%
2000,2.11%,2.48%,-11.71%
2001,1.65%,6.13%,6.12%
2002,-2.57%,7.60%,-3.37%
2003,2.22%,7.71%,-0.50%
2004,1.49%,14.51%,-9.00%
2005,0.09%,14.00%,1.10%
2006,-2.01%,6.68%,-7.07%
2007,-1.14%,6.19%,-18.13%
2008,-1.15%,18.44%,-15.00%
2009,-8.38%,11.51%,27.73%
2010,3.76%,11.58%,-8.55%
2011,-8.17%,8.27%,12.23%
2012,0.91%,10.29%,-2.56%
2013,-2.64%,18.35%,1.32%
2014,-7.16%,16.65%,-9.74%
2015,-1.99%,20.89%,11.51%
