Year,Renewable Mtoe,Fossil Mtoe,Nuclear Mtoe
1990,1.477,203.4,16.3
1991,1.496,207.7,17.4
1992,1.654,203.7,18.5
1993,1.726,202.9,21.6
1994,2.332,202.2,21.2
1995,2.483,202.4,21.3
1996,2.507,214.4,22.2
1997,2.716,209,22
1998,2.991,212.8,23.4
1999,3.182,213.7,22.2
2000,3.261,218.2,19.6
2001,3.461,221.8,20.8
2002,3.724,216.1,20.1
2003,4.011,220.9,20
2004,4.593,224.2,18.2
2005,5.236,224.4,18.4
2006,5.586,219.9,17.1
2007,5.932,217.4,14
2008,7.026,214.9,11.9
2009,7.835,196.9,15.2
2010,8.742,204.3,13.9
2011,9.465,187.6,15.6
2012,10.439,189.3,15.2
2013,12.355,184.3,15.4
2014,14.412,171.1,13.9
2015,17.423,167.7,15.5
