Year,Renewable Mtoe,Fossil Mtoe,Renewable Rate,Fossil Rate,Overall Consumption,Overall Consumption Rate,Nuclear Mtoe,Nuclear Rate,,,,,,,,,,,,,,,,,,,,
1990,1.477,203.4,,,222.2,,16.3,,,,,,,,,,,,,,,,,,,,,167.7
1991,1.496,207.7,1.29%,2.11%,228,2.61%,17.4,6.75%,,,,,,,,,,,,,,,,,,,,
1992,1.654,203.7,10.56%,-1.93%,225.2,-1.23%,18.5,6.32%,,,,,,,,,,,,,,,,,,,,
1993,1.726,202.9,4.35%,-0.39%,227.7,1.11%,21.6,16.76%,,,,,,,,,,,,,,,,,,,,
1994,2.332,202.2,35.11%,-0.34%,227.2,-0.22%,21.2,-1.85%,,,,,,,,,,,,,,,,,,,,
1995,2.483,202.4,6.48%,0.10%,227.5,0.13%,21.3,0.47%,,,,,,,,,,,,,,,,,,,,
1996,2.507,214.4,0.97%,5.93%,240.5,5.71%,22.2,4.23%,,,,,,,,,,,,,,,,,,,,
1997,2.716,209,8.34%,-2.52%,235.1,-2.25%,22,-0.90%,,,,,,,,,,,,,,,,,,,,
1998,2.991,212.8,10.13%,1.82%,240.3,2.21%,23.4,6.36%,,,,,,,,,,,,,,,,,,,,
1999,3.182,213.7,6.39%,0.42%,240.3,0.00%,22.2,-5.13%,,,,,,,,,,,,,,,,,,,,
2000,3.261,218.2,2.48%,2.11%,242.3,0.83%,19.6,-11.71%,,,,,,,,,,,,,,,,,,,,
2001,3.461,221.8,6.13%,1.65%,246.9,1.90%,20.8,6.12%,,,,,,,,,,,,,,,,,,,,
2002,3.724,216.1,7.60%,-2.57%,240.7,-2.51%,20.1,-3.37%,,,,,,,,,,,,,,,,,,,,
2003,4.011,220.9,7.71%,2.22%,245.2,1.87%,20,-0.50%,,,,,,,,,,,,,,,,,,,,
2004,4.593,224.2,14.51%,1.49%,247.6,0.98%,18.2,-9.00%,,,,,,,,,,,,,,,,,,,,
2005,5.236,224.4,14.00%,0.09%,248.7,0.44%,18.4,1.10%,,,,,,,,,,,,,,,,,,,,
2006,5.586,219.9,6.68%,-2.01%,243.3,-2.17%,17.1,-7.07%,,,,,,,,,,,,,,,,,,,,
2007,5.932,217.4,6.19%,-1.14%,237.8,-2.26%,14,-18.13%,,,,,,,,,,,,,,,,,,,,
2008,7.026,214.9,18.44%,-1.15%,234.8,-1.26%,11.9,-15.00%,,,,,,,,,,,,,,,,,,,,
2009,7.835,196.9,11.51%,-8.38%,220.2,-6.22%,15.2,27.73%,,,,,,,,,,,,,,,,,,,,
2010,8.742,204.3,11.58%,3.76%,227.2,3.18%,13.9,-8.55%,,,,,,,,,,,,,,,,,,,,
2011,9.465,187.6,8.27%,-8.17%,213.2,-6.16%,15.6,12.23%,,,,,,,,,,,,,,,,,,,,
2012,10.439,189.3,10.29%,0.91%,215.9,1.27%,15.2,-2.56%,,,,,,,,,,,,,,,,,,,,
2013,12.355,184.3,18.35%,-2.64%,213.4,-1.16%,15.4,1.32%,,,,,,,,,,,,,,,,,,,,
2014,14.412,171.1,16.65%,-7.16%,201.1,-5.76%,13.9,-9.74%,,,,,,,,,,,,,,,,,,,,
2015,17.423,167.7,20.89%,-1.99%,202.4,0.65%,15.5,11.51%,,,,,,,,,,,,,,,,,,,,
