,Hydroelectric power,"Wind, wave, tidal1",Solar photovoltaic,Geothermal aquifers,Landfill gas,Sewage gas,Biogas from autogen,Municipal solid waste (MSW),Poultry litter,Straw,Wood,Charcoal,Liquid bio-fuels,Bioethanol2,Biodiesel2,Biomass
1990,0.448,0.001,0,0.001,0.08,0.138,0,0.16,0,0.072,0.541,0.037,,,,
1991,0.398,0.001,0,0.001,0.104,0.151,0,0.165,0,0.072,0.57,0.034,,,,
1992,0.467,0.003,0,0.001,0.155,0.151,0,0.185,0.015,0.072,0.574,0.032,,,,
1993,0.37,0.019,0,0.001,0.162,0.158,0,0.24,0.036,0.072,0.636,0.032,,,,
1994,0.438,0.03,0,0.001,0.188,0.17,0,0.354,0.065,0.072,0.981,0.033,,,,
1995,0.416,0.034,0,0.001,0.199,0.193,0,0.384,0.065,0.072,1.085,0.034,,,,
1996,0.292,0.042,0,0.001,0.249,0.193,0,0.358,0.065,0.072,1.197,0.039,,,,
1997,0.378,0.057,0,0.001,0.317,0.192,0,0.433,0.065,0.072,1.165,0.036,,,,
1998,0.44,0.075,0,0.001,0.402,0.181,0,0.614,0.073,0.072,1.09,0.038,,,,0.004
1999,0.459,0.073,0,0.001,0.572,0.189,0,0.599,0.114,0.072,1.031,0.032,,,,0.04
2000,0.437,0.081,0,0.001,0.731,0.169,0,0.628,0.14,0.08,0.917,0.035,,,,0.042
2001,0.348,0.083,0,0.001,0.836,0.168,0,0.679,0.171,0.143,0.96,0.032,,,,0.039
2002,0.412,0.108,0,0.001,0.892,0.174,0,0.74,0.165,0.127,0.938,0.033,,,0.002,0.13
2003,0.278,0.111,0,0.001,1.088,0.165,0.003,0.753,0.162,0.152,1.023,0.036,,,0.016,0.222
2004,0.418,0.166,0,0.001,1.327,0.177,0.005,0.727,0.152,0.147,1.077,0.038,0.011,,0.017,0.33
2005,0.423,0.25,0.001,0.001,1.421,0.206,0.005,0.722,0.147,0.145,1.345,0.034,0.173,0.048,0.027,0.289
2006,0.395,0.363,0.001,0.001,1.465,0.19,0.006,0.806,0.139,0.156,1.298,0.034,0.202,0.054,0.139,0.336
2007,0.437,0.453,0.001,0.001,1.547,0.211,0.007,0.819,0.14,0.152,1.396,0.053,0.06,0.086,0.285,0.277
2008,0.442,0.613,0.001,0.001,1.554,0.23,0.007,0.849,0.162,0.206,1.834,0.052,0.028,0.116,0.729,0.189
2009,0.45,0.798,0.002,0.001,1.626,0.249,0.016,1.021,0.157,0.194,1.907,0.031,0.014,0.18,0.859,0.317
2010,0.307,0.882,0.004,0.001,1.663,0.286,0.041,1.028,0.164,0.252,2.383,0.075,0.016,0.356,0.863,0.409
2011,0.488,1.346,0.021,0.001,1.681,0.315,0.099,1.016,0.167,0.215,2.389,0.065,0.016,0.367,0.761,0.504
2012,0.454,1.706,0.116,0.001,1.701,0.3,0.179,1.189,0.163,0.223,2.883,0.064,0.049,0.437,0.521,0.444
2013,0.404,2.442,0.173,0.001,1.706,0.318,0.257,1.108,0.177,0.289,3.844,0.078,0.055,0.462,0.63,0.399
2014,0.507,2.749,0.347,0.001,1.668,0.345,0.377,1.409,0.175,0.348,4.514,0.079,0.003,0.459,0.785,0.634
2015,0.541,3.466,0.65,0.001,1.611,0.364,0.564,2.017,0.184,0.385,6.025,0.077,0.004,0.448,0.551,0.526
